,source,target
27993,lot,unless
27994,unless,change
27995,change,hearts
27996,hearts,allah
27997,allah,willethpeople
27998,willethpeople,punishment
27999,punishment,turning
28000,turning,back
28001,back,find
28002,find,besides
28003,besides,protect
28004,doth,show
28005,show,lightning
28006,lightning,way
28007,way,fear
28008,fear,hope
28009,hope,doth
28010,doth,raise
28011,raise,clouds
28012,clouds,heavy
28013,heavy,fertilising
28014,fertilising,rain
28015,nay,thunder
28016,thunder,repeateth
28017,repeateth,praises
28018,praises,angels
28019,angels,awe
28020,awe,flingeth
28021,flingeth,loud
28022,loud,voiced
28023,voiced,thunder
28024,thunder,bolts
28025,bolts,therewith
28026,therewith,striketh
28027,striketh,whomsoever
28028,whomsoever,yet
28029,yet,men
28030,men,dare
28031,dare,dispute
28032,dispute,allah
28033,allah,strength
28034,strength,power
28035,power,supreme
28036,alone,prayer
28037,prayer,truth
28038,truth,others
28039,others,call
28040,call,upon
28041,upon,besides
28042,besides,hear
28043,hear,stretch
28044,stretch,forth
28045,forth,hands
28046,hands,water
28047,water,reach
28048,reach,mouths
28049,mouths,reaches
28050,reaches,prayer
28051,prayer,without
28052,without,faith
28053,faith,nothing
28054,nothing,futile
28055,futile,wandering
28056,wandering,mind
28057,whatever,beings
28058,beings,heavens
28059,heavens,earth
28060,earth,prostrate
28061,prostrate,allah
28062,allah,acknowledging
28063,acknowledging,subjection
28064,subjection,good
28065,good,spite
28066,spite,shadows
28067,shadows,morning
28068,morning,evenings
28069,say,lord
28070,lord,sustainer
28071,sustainer,heavens
28072,heavens,earth
28073,earth,say
28074,say,allah
28075,allah,say
28076,say,ye
28077,ye,take
28078,take,worship
28079,worship,protectors
28080,protectors,power
28081,power,either
28082,either,good
28083,good,harm
28084,harm,say
28085,say,blind
28086,blind,equal
28087,equal,see
28088,see,depths
28089,depths,darkness
28090,darkness,equal
28091,equal,light
28092,light,assign
28093,assign,allah
28094,allah,partners
28095,partners,created
28096,created,anything
28097,anything,created
28098,created,creation
28099,creation,seemed
28100,seemed,similar
28101,similar,say
28102,say,allah
28103,allah,creator
28104,creator,things
28105,things,one
28106,one,supreme
28107,supreme,irresistible
28108,sends,water
28109,water,skies
28110,skies,channels
28111,channels,flow
28112,flow,according
28113,according,measure
28114,measure,torrent
28115,torrent,bears
28116,bears,away
28117,away,foam
28118,foam,mounts
28119,mounts,surface
28120,surface,even
28121,even,ore
28122,ore,heat
28123,heat,fire
28124,fire,make
28125,make,ornaments
28126,ornaments,utensils
28127,utensils,therewith
28128,therewith,isscum
28129,isscum,likewise
28130,likewise,thus
28131,thus,doth
28132,doth,allah
28133,allah,parables
28134,parables,show
28135,show,forth
28136,forth,truth
28137,truth,vanity
28138,vanity,scum
28139,scum,disappears
28140,disappears,like
28141,like,forth
28142,forth,cast
28143,cast,good
28144,good,mankind
28145,mankind,remains
28146,remains,earth
28147,earth,thus
28148,thus,doth
28149,doth,allah
28150,allah,set
28151,set,forth
28152,forth,parables
28153,respond,lord
28154,lord,good
28155,good,things
28156,things,respond
28157,respond,even
28158,even,heavens
28159,heavens,earth
28160,earth,much
28161,much,vain
28162,vain,would
28163,would,offer
28164,offer,ransom
28165,ransom,reckoning
28166,reckoning,terrible
28167,terrible,abode
28168,abode,hell
28169,hell,whatbed
28170,whatbed,misery
28171,one,doth
28172,doth,know
28173,know,hath
28174,hath,revealed
28175,revealed,unto
28176,unto,thee
28177,thee,thy
28178,thy,lord
28179,lord,truth
28180,truth,like
28181,like,one
28182,one,blind
28183,blind,endued
28184,endued,understanding
28185,understanding,receive
28186,receive,admonition
28187,fulfil,covenant
28188,covenant,allah
28189,allah,fail
28190,fail,plighted
28191,plighted,word
28192,join,together
28193,together,things
28194,things,allah
28195,allah,hath
28196,hath,commanded
28197,commanded,joined
28198,joined,hold
28199,hold,lord
28200,lord,awe
28201,awe,fear
28202,fear,terrible
28203,terrible,reckoning
28204,patiently,persevere
28205,persevere,seeking
28206,seeking,countenance
28207,countenance,lord
28208,lord,establish
28209,establish,regular
28210,regular,prayers
28211,prayers,spend
28212,spend,gifts
28213,gifts,bestowed
28214,bestowed,sustenance
28215,sustenance,secretly
28216,secretly,openly
28217,openly,turn
28218,turn,evil
28219,evil,good
28220,good,final
28221,final,attainment
28222,attainment,eternal
28223,eternal,home
28224,gardens,perpetual
28225,perpetual,bliss
28226,bliss,shall
28227,shall,enter
28228,enter,well
28229,well,righteous
28230,righteous,among
28231,among,fathers
28232,fathers,spouses
28233,spouses,offspring
28234,offspring,angels
28235,angels,shall
28236,shall,enter
28237,enter,unto
28238,unto,every
28239,every,gate
28240,gate,salutation
28241,peace,unto
28242,unto,ye
28243,ye,persevered
28244,persevered,patience
28245,patience,excellent
28246,excellent,final
28247,final,home
28248,break,covenant
28249,covenant,allah
28250,allah,plighted
28251,plighted,word
28252,word,thereto
28253,thereto,cut
28254,cut,asunder
28255,asunder,things
28256,things,allah
28257,allah,commanded
28258,commanded,joined
28259,joined,work
28260,work,mischief
28261,mischief,land
28262,land,curse
28263,curse,terrible
28264,terrible,home
28265,allah,doth
28266,doth,enlarge
28267,enlarge,grant
28268,grant,strict
28269,strict,measure
28270,measure,sustenance
28271,sustenance,giveth
28272,giveth,whomso
28273,whomso,pleaseth
28274,pleaseth,wordly
28275,wordly,rejoice
28276,rejoice,life
28277,life,world
28278,world,life
28279,life,world
28280,world,little
28281,little,comfort
28282,comfort,hereafter
28283,unbelievers,say
28284,say,notsign
28285,notsign,sent
28286,sent,lord
28287,lord,say
28288,say,truly
28289,truly,allah
28290,allah,leaveth
28291,leaveth,stray
28292,stray,guideth
28293,guideth,turn
28294,turn,penitence
28295,believe,whose
28296,whose,hearts
28297,hearts,find
28298,find,satisfaction
28299,satisfaction,remembrance
28300,remembrance,allah
28301,allah,without
28302,without,doubt
28303,doubt,remembrance
28304,remembrance,allah
28305,allah,hearts
28306,hearts,find
28307,find,satisfaction
28308,believe,work
28309,work,righteousness
28310,righteousness,every
28311,every,blessedness
28312,blessedness,andbeautiful
28313,andbeautiful,place
28314,place,final
28315,final,return
28316,thus,sent
28317,sent,thee
28318,thee,amongstpeople
28319,amongstpeople,long
28320,long,since
28321,since,peoples
28322,peoples,gone
28323,gone,passed
28324,passed,away
28325,away,order
28326,order,thou
28327,thou,mightest
28328,mightest,rehearse
28329,rehearse,unto
28330,unto,send
28331,send,unto
28332,unto,thee
28333,thee,inspiration
28334,inspiration,yet
28335,yet,reject
28336,reject,gracious
28337,gracious,say
28338,say,lord
28339,lord,god
28340,god,trust
28341,trust,doturn
28342,werequr,mountains
28343,mountains,moved
28344,moved,earth
28345,earth,cloven
28346,cloven,asunder
28347,asunder,dead
28348,dead,made
28349,made,speak
28350,speak,would
28351,would,one
28352,one,truly
28353,truly,command
28354,command,allah
28355,allah,things
28356,things,believers
28357,believers,know
28358,know,allah
28359,allah,willed
28360,willed,could
28361,could,guided
28362,guided,mankind
28363,mankind,right
28364,right,unbelievers
28365,unbelievers,never
28366,never,disaster
28367,disaster,cease
28368,cease,seize
28369,seize,ill
28370,ill,deeds
28371,deeds,settle
28372,settle,close
28373,close,homes
28374,homes,promise
28375,promise,allah
28376,allah,come
28377,come,pass
28378,pass,verily
28379,verily,allah
28380,allah,fail
28381,fail,promise
28382,mocked,many
28383,many,messengers
28384,messengers,thee
28385,thee,butgranted
28386,butgranted,respite
28387,respite,unbelievers
28388,unbelievers,finallypunished
28389,finallypunished,terrible
28390,terrible,requital
28391,standeth,every
28392,every,soul
28393,soul,knoweth
28394,knoweth,doth
28395,doth,like
28396,like,others
28397,others,yet
28398,yet,ascribe
28399,ascribe,partners
28400,partners,allah
28401,allah,say
28402,say,name
28403,name,ye
28404,ye,inform
28405,inform,something
28406,something,knoweth
28407,knoweth,earth
28408,earth,justshow
28409,justshow,words
28410,words,nay
28411,nay,believe
28412,believe,pretence
28413,pretence,seems
28414,seems,pleasing
28415,pleasing,kept
28416,kept,back
28417,back,thereby
28418,thereby,path
28419,path,allah
28420,allah,leaves
28421,leaves,stray
28422,stray,one
28423,one,guide
28424,ispenalty,life
28425,life,world
28426,world,harder
28427,harder,truly
28428,truly,penalty
28429,penalty,hereafter
28430,hereafter,defender
28431,defender,none
28432,none,allah
28433,parable,garden
28434,garden,righteous
28435,righteous,promised
28436,promised,beneath
28437,beneath,flow
28438,flow,rivers
28439,rivers,perpetual
28440,perpetual,enjoyment
28441,enjoyment,thereof
28442,thereof,shade
28443,shade,therein
28444,therein,end
28445,end,righteous
28446,righteous,end
28447,end,unbelievers
28448,unbelievers,fire
28449,given,book
28450,book,rejoice
28451,rejoice,hath
28452,hath,revealed
28453,revealed,unto
28454,unto,thee
28455,thee,among
28456,among,clans
28457,clans,rejectpart
28458,rejectpart,thereof
28459,thereof,say
28460,say,commanded
28461,commanded,worship
28462,worship,allah
28463,allah,join
28464,join,partners
28465,partners,unto
28466,unto,docall
28467,docall,unto
28468,unto,return
28469,thus,revealed
28470,revealed,bejudgment
28471,bejudgment,authority
28472,authority,arabic
28473,arabic,wert
28474,wert,thou
28475,thou,follow
28476,follow,vain
28477,vain,desires
28478,desires,knowledge
28479,knowledge,hath
28480,hath,reached
28481,reached,thee
28482,thee,wouldst
28483,wouldst,thou
28484,thou,find
28485,find,neither
28486,neither,protector
28487,protector,defender
28488,defender,allah
28489,send,messengers
28490,messengers,thee
28491,thee,appointed
28492,appointed,wives
28493,wives,children
28494,children,never
28495,never,part
28496,part,ofmessenger
28497,ofmessenger,bringsign
28498,bringsign,except
28499,except,allah
28500,allah,permitted
28501,permitted,commanded
28502,commanded,period
28503,period,isbook
28504,isbook,revealed
28505,allah,doth
28506,doth,blot
28507,blot,confirm
28508,confirm,pleaseth
28509,pleaseth,mother
28510,mother,book
28511,whether,shall
28512,shall,show
28513,show,thee
28514,thee,within
28515,within,thy
28516,thy,life
28517,life,time
28518,time,part
28519,part,promised
28520,promised,take
28521,take,thy
28522,thy,soul
28523,soul,accomplished
28524,accomplished,thy
28525,thy,duty
28526,duty,make
28527,make,message
28528,message,reach
28529,reach,part
28530,part,call
28531,call,account
28532,see,gradually
28533,gradually,reduce
28534,reduce,land
28535,land,control
28536,control,outlying
28537,outlying,borders
28538,borders,allah
28539,allah,commands
28540,commands,none
28541,none,put
28542,put,back
28543,back,command
28544,command,swift
28545,swift,calling
28546,calling,account
28547,also,devise
28548,devise,plots
28549,plots,things
28550,things,master
28551,master,planning
28552,planning,allah
28553,allah,knoweth
28554,knoweth,doings
28555,doings,every
28556,every,soul
28557,soul,soon
28558,soon,unbelievers
28559,unbelievers,know
28560,know,gets
28561,gets,home
28562,home,end
28563,unbelievers,say
28564,say,messenger
28565,messenger,art
28566,art,thou
28567,thou,say
28568,say,enough
28569,enough,forwitness
28570,forwitness,allah
28571,allah,knowledge
28572,knowledge,book
28573,book,revealed
28574,revealed,unto
28575,unto,thee
28576,thee,order
28577,order,thou
28578,thou,mightest
28579,mightest,lead
28580,lead,mankind
28581,mankind,depths
28582,depths,darkness
28583,darkness,light
28584,light,leave
28585,leave,lord
28586,lord,way
28587,way,exalted
28588,exalted,power
28589,power,worthy
28590,worthy,praise
28591,allah,belong
28592,belong,things
28593,things,heavens
28594,heavens,earth
28595,earth,alas
28596,alas,unbelievers
28597,unbelievers,forterrible
28598,forterrible,penalty
28599,penalty,unfaith
28600,unfaith,bring
28601,love,life
28602,life,world
28603,world,hereafter
28604,hereafter,hinder
28605,hinder,men
28606,men,path
28607,path,allah
28608,allah,seek
28609,seek,therein
28610,therein,something
28611,something,crooked
28612,crooked,astray
28613,astray,bylong
28614,bylong,distance
28615,sent,notmessenger
28616,notmessenger,except
28617,except,teach
28618,teach,language
28619,language,people
28620,people,order
28621,order,make
28622,make,things
28623,things,clear
28624,clear,allah
28625,allah,leaves
28626,leaves,straying
28627,straying,pleases
28628,pleases,guides
28629,guides,pleases
28630,pleases,exalted
28631,exalted,power
28632,power,full
28633,full,wisdom
28634,sent,moses
28635,moses,signs
28636,signs,command
28637,command,bring
28638,bring,thy
28639,thy,people
28640,people,depths
28641,depths,darkness
28642,darkness,light
28643,light,teach
28644,teach,remember
28645,remember,days
28646,days,allah
28647,allah,verily
28648,verily,signs
28649,signs,firmly
28650,firmly,patient
28651,patient,constant
28652,constant,grateful
28653,grateful,appreciative
28654,remember,moses
28655,moses,said
28656,said,people
28657,people,call
28658,call,mind
28659,mind,favour
28660,favour,allah
28661,allah,delivered
28662,delivered,people
28663,people,pharaoh
28664,pharaoh,set
28665,set,hard
28666,hard,tasks
28667,tasks,punishments
28668,punishments,slaughtered
28669,slaughtered,sons
28670,sons,let
28671,let,women
28672,women,folk
28673,folk,live
28674,live,therein
28675,therein,wastremendous
28676,wastremendous,trial
28677,trial,lord
28678,remember,lord
28679,lord,caused
28680,caused,declared
28681,declared,publicly
28682,publicly,ye
28683,ye,grateful
28684,grateful,add
28685,add,favours
28686,favours,unto
28687,unto,ye
28688,ye,show
28689,show,ingratitude
28690,ingratitude,truly
28691,truly,punishment
28692,punishment,terrible
28693,terrible,indeed
28694,moses,said
28695,said,ye
28696,ye,show
28697,show,ingratitude
28698,ingratitude,ye
28699,ye,earth
28700,earth,together
28701,together,yet
28702,yet,allah
28703,allah,free
28704,free,wants
28705,wants,worthy
28706,worthy,praise
28707,story,reached
28708,reached,people
28709,people,went
28710,went,people
28711,people,noah
28712,noah,ad
28713,ad,thamud
28714,thamud,came
28715,came,none
28716,none,knows
28717,knows,allah
28718,allah,came
28719,came,messengers
28720,messengers,clear
28721,clear,signs
28722,signs,put
28723,put,hands
28724,hands,mouths
28725,mouths,said
28726,said,deny
28727,deny,mission
28728,mission,ye
28729,ye,sent
28730,sent,really
28731,really,suspicious
28732,suspicious,disquieting
28733,disquieting,doubt
28734,doubt,ye
28735,ye,invite
28736,invite,us
28737,messengers,said
28738,said,theredoubt
28739,theredoubt,allah
28740,allah,creator
28741,creator,heavens
28742,heavens,earth
28743,earth,invites
28744,invites,order
28745,order,may
28746,may,forgive
28747,forgive,sins
28748,sins,give
28749,give,respite
28750,respite,forterm
28751,forterm,appointed
28752,appointed,said
28753,said,ah
28754,ah,ye
28755,ye,human
28756,human,like
28757,like,ye
28758,ye,wish
28759,wish,turn
28760,turn,us
28761,us,away
28762,away,gods
28763,gods,fathers
28764,fathers,used
28765,used,worship
28766,worship,bring
28767,bring,us
28768,us,clear
28769,clear,authority
28770,messengers,said
28771,said,true
28772,true,human
28773,human,like
28774,like,allah
28775,allah,doth
28776,doth,grant
28777,grant,grace
28778,grace,servants
28779,servants,pleases
28780,pleases,us
28781,us,bring
28782,bring,authority
28783,authority,except
28784,except,allah
28785,allah,permits
28786,permits,allah
28787,allah,let
28788,let,men
28789,men,faith
28790,faith,put
28791,put,trust
28792,reason,put
28793,put,trust
28794,trust,allah
28795,allah,indeed
28796,indeed,guided
28797,guided,us
28798,us,ways
28799,ways,follow
28800,follow,shall
28801,shall,certainly
28802,certainly,bear
28803,bear,patience
28804,patience,hurt
28805,hurt,may
28806,may,cause
28807,cause,us
28808,us,put
28809,put,trust
28810,trust,put
28811,put,trust
28812,trust,allah
28813,unbelievers,said
28814,said,messengers
28815,messengers,sure
28816,sure,shall
28817,shall,drive
28818,drive,land
28819,land,ye
28820,ye,shall
28821,shall,return
28822,return,religion
28823,religion,lord
28824,lord,inspired
28825,inspired,message
28826,message,verily
28827,verily,shall
28828,shall,cause
28829,cause,wrong
28830,wrong,doers
28831,doers,perish
28832,verily,shall
28833,shall,cause
28834,cause,abide
28835,abide,land
28836,land,succeed
28837,succeed,fear
28838,fear,time
28839,time,shall
28840,shall,stand
28841,stand,tribunal
28842,tribunal,fear
28843,fear,punishment
28844,punishment,denounced
28845,sought,victory
28846,victory,decision
28847,decision,frustration
28848,frustration,lot
28849,lot,every
28850,every,powerful
28851,powerful,obstinate
28852,obstinate,transgressor
28853,front,suchone
28854,suchone,hell
28855,hell,given
28856,given,drink
28857,drink,boiling
28858,boiling,fetid
28859,fetid,water
28860,gulps,sip
28861,sip,never
28862,never,near
28863,near,swallowing
28864,swallowing,throat
28865,throat,death
28866,death,come
28867,come,every
28868,every,quarter
28869,quarter,yet
28870,yet,die
28871,die,front
28872,front,bechastisement
28873,bechastisement,unrelenting
28874,parable,reject
28875,reject,lord
28876,lord,works
28877,works,ashes
28878,ashes,wind
28879,wind,blows
28880,blows,furiously
28881,furiously,ontempestuous
28882,ontempestuous,day
28883,day,power
28884,power,aught
28885,aught,earned
28886,earned,straying
28887,straying,far
28888,far,far
28889,far,goal
28890,seest,thou
28891,thou,allah
28892,allah,created
28893,created,heavens
28894,heavens,earth
28895,earth,truth
28896,truth,remove
28897,remove,put
28898,put,placenew
28899,placenew,creation
28900,allah,great
28901,great,matter
28902,marshalled,allah
28903,allah,together
28904,together,weak
28905,weak,say
28906,say,arrogant
28907,arrogant,us
28908,us,followed
28909,followed,ye
28910,ye,avail
28911,avail,us
28912,us,wrath
28913,wrath,allah
28914,allah,reply
28915,reply,received
28916,received,guidance
28917,guidance,allah
28918,allah,given
28919,given,us
28920,us,makes
28921,makes,difference
28922,difference,whether
28923,whether,rage
28924,rage,bear
28925,bear,torments
28926,torments,patience
28927,patience,way
28928,way,escape
28929,satan,say
28930,say,matter
28931,matter,decided
28932,decided,allah
28933,allah,gave
28934,gave,youpromise
28935,youpromise,truth
28936,truth,promised
28937,promised,butfailed
28938,butfailed,promise
28939,promise,authority
28940,authority,except
28941,except,call
28942,call,ye
28943,ye,listened
28944,listened,reproach
28945,reproach,reproach
28946,reproach,souls
28947,souls,cannot
28948,cannot,listen
28949,listen,cries
28950,cries,ye
28951,ye,listen
28952,listen,mine
28953,mine,reject
28954,reject,former
28955,former,act
28956,act,associating
28957,associating,allah
28958,allah,wrong
28959,wrong,doers
28960,doers,must
28961,must,begrievous
28962,begrievous,penalty
28963,believe,work
28964,work,righteousness
28965,righteousness,admitted
28966,admitted,gardens
28967,gardens,beneath
28968,beneath,rivers
28969,rivers,flow
28970,flow,dwell
28971,dwell,therein
28972,therein,aye
28973,aye,leave
28974,leave,lord
28975,lord,greeting
28976,greeting,therein
28977,therein,peace
28978,seest,thou
28979,thou,allah
28980,allah,sets
28981,sets,forthparable
28982,forthparable,goodly
28983,goodly,word
28984,word,likegoodly
28985,likegoodly,tree
28986,tree,whose
28987,whose,root
28988,root,firmly
28989,firmly,fixed
28990,fixed,branches
28991,branches,reach
28992,reach,heavens
28993,heavens,lord
28994,lord,allah
28995,allah,sets
28996,sets,forth
28997,forth,parables
28998,parables,men
28999,men,order
29000,order,may
29001,may,receive
29002,receive,admonition
29003,brings,forth
29004,forth,fruit
29005,fruit,times
29006,times,leave
29007,leave,lord
29008,lord,allah
29009,allah,sets
29010,sets,forth
29011,forth,parables
29012,parables,men
29013,men,order
29014,order,may
29015,may,receive
29016,receive,admonition
29017,parable,evil
29018,evil,word
29019,word,evil
29020,evil,tree
29021,tree,torn
29022,torn,root
29023,root,surface
29024,surface,earth
29025,earth,stability
29026,allah,establish
29027,establish,strength
29028,strength,believe
29029,believe,word
29030,word,stands
29031,stands,firm
29032,firm,world
29033,world,hereafter
29034,hereafter,allah
29035,allah,leave
29036,leave,stray
29037,stray,wrong
29038,wrong,allah
29039,allah,doeth
29040,doeth,willeth
29041,hast,thou
29042,thou,turned
29043,turned,thy
29044,thy,vision
29045,vision,changed
29046,changed,favour
29047,favour,allah
29048,allah,blasphemy
29049,blasphemy,caused
29050,caused,people
29051,people,descend
29052,descend,house
29053,house,perdition
29054,hell,burn
29055,burn,therein
29056,therein,evil
29057,evil,place
29058,place,stay
29059,set,idols
29060,idols,equal
29061,equal,allah
29062,allah,mislead
29063,mislead,men
29064,men,path
29065,path,say
29066,say,enjoy
29067,enjoy,brief
29068,brief,power
29069,power,verily
29070,verily,ye
29071,ye,making
29072,making,straightway
29073,straightway,hell
29074,speak,servants
29075,servants,believed
29076,believed,may
29077,may,establish
29078,establish,regular
29079,regular,prayers
29080,prayers,spend
29081,spend,charity
29082,charity,sustenance
29083,sustenance,given
29084,given,secretly
29085,secretly,openly
29086,openly,coming
29087,coming,ofday
29088,ofday,neither
29089,neither,mutual
29090,mutual,bargaining
29091,bargaining,befriending
29092,allah,hath
29093,hath,created
29094,created,heavens
29095,heavens,earth
29096,earth,sendeth
29097,sendeth,rain
29098,rain,skies
29099,skies,bringeth
29100,bringeth,fruits
29101,fruits,wherewith
29102,wherewith,feed
29103,feed,hath
29104,hath,made
29105,made,ships
29106,ships,subject
29107,subject,may
29108,may,sail
29109,sail,sea
29110,sea,command
29111,command,rivers
29112,rivers,also
29113,also,hath
29114,hath,made
29115,made,subject
29116,hath,made
29117,made,subject
29118,subject,sun
29119,sun,moon
29120,moon,diligently
29121,diligently,pursuing
29122,pursuing,courses
29123,courses,night
29124,night,day
29125,day,hath
29126,hath,also
29127,also,made
29128,made,subject
29129,giveth,ye
29130,ye,ask
29131,ask,ye
29132,ye,count
29133,count,favours
29134,favours,allah
29135,allah,never
29136,never,ye
29137,ye,able
29138,able,number
29139,number,verily
29140,verily,man
29141,man,given
29142,given,injustice
29143,injustice,ingratitude
29144,remember,abraham
29145,abraham,said
29146,said,lord
29147,lord,make
29148,make,city
29149,city,one
29150,one,peace
29151,peace,security
29152,security,preserve
29153,preserve,sons
29154,sons,worshipping
29155,worshipping,idols
29156,lord,indeed
29157,indeed,led
29158,led,astray
29159,astray,many
29160,many,among
29161,among,mankind
29162,mankind,follows
29163,follows,ways
29164,ways,disobeys
29165,disobeys,thou
29166,thou,art
29167,art,indeed
29168,indeed,oft
29169,oft,forgiving
29170,forgiving,merciful
29171,lord,made
29172,made,offspring
29173,offspring,dwell
29174,dwell,invalley
29175,invalley,without
29176,without,cultivation
29177,cultivation,thy
29178,thy,sacred
29179,sacred,house
29180,house,order
29181,order,lord
29182,lord,may
29183,may,establish
29184,establish,regular
29185,regular,prayer
29186,prayer,fill
29187,fill,hearts
29188,hearts,among
29189,among,men
29190,men,love
29191,love,towards
29192,towards,feed
29193,feed,fruits
29194,fruits,may
29195,may,give
29196,give,thanks
29197,lord,truly
29198,truly,thou
29199,thou,dost
29200,dost,know
29201,know,conceal
29202,conceal,reveal
29203,reveal,nothing
29204,nothing,whatever
29205,whatever,hidden
29206,hidden,allah
29207,allah,whether
29208,whether,earth
29209,earth,heaven
29210,praise,allah
29211,allah,hath
29212,hath,granted
29213,granted,unto
29214,unto,old
29215,old,age
29216,age,isma
29217,isma,il
29218,il,isaac
29219,isaac,truly
29220,truly,lord
29221,lord,hearer
29222,hearer,prayer
29223,lord,make
29224,make,one
29225,one,establishes
29226,establishes,regular
29227,regular,prayer
29228,prayer,also
29229,also,raise
29230,raise,among
29231,among,offspringour
29232,offspringour,lord
29233,lord,accept
29234,accept,thou
29235,thou,prayer
29236,lord,cover
29237,cover,us
29238,us,thy
29239,thy,forgiveness
29240,forgiveness,parents
29241,parents,believers
29242,believers,day
29243,day,reckoning
29244,reckoning,established
29245,think,allah
29246,allah,doth
29247,doth,heed
29248,heed,deeds
29249,deeds,wrong
29250,wrong,giveth
29251,giveth,respite
29252,respite,againstday
29253,againstday,eyes
29254,eyes,fixedly
29255,fixedly,stare
29256,stare,horror
29257,running,forward
29258,forward,necks
29259,necks,outstretched
29260,outstretched,heads
29261,heads,uplifted
29262,uplifted,gaze
29263,gaze,returning
29264,returning,towards
29265,towards,heartsgaping
29266,heartsgaping,void
29267,warn,mankind
29268,mankind,day
29269,day,wrath
29270,wrath,reach
29271,reach,wrong
29272,wrong,doers
29273,doers,say
29274,say,lord
29275,lord,respite
29276,respite,us
29277,us,forshort
29278,forshort,term
29279,term,answer
29280,answer,thy
29281,thy,call
29282,call,follow
29283,follow,messengers
29284,messengers,ye
29285,ye,wont
29286,wont,swear
29287,swear,aforetime
29288,aforetime,ye
29289,ye,suffer
29290,suffer,decline
29291,ye,dwelt
29292,dwelt,dwellings
29293,dwellings,men
29294,men,wronged
29295,wronged,souls
29296,souls,ye
29297,ye,clearly
29298,clearly,shown
29299,shown,dealt
29300,dealt,put
29301,put,forth
29302,forth,many
29303,many,parables
29304,parables,behoof
29305,mighty,indeed
29306,indeed,plots
29307,plots,made
29308,made,plots
29309,plots,well
29310,well,within
29311,within,sight
29312,sight,allah
29313,allah,even
29314,even,though
29315,though,shake
29316,shake,hills
29317,never,think
29318,think,allah
29319,allah,would
29320,would,fail
29321,fail,messengers
29322,messengers,promise
29323,promise,allah
29324,allah,exalted
29325,exalted,power
29326,power,lord
29327,lord,retribution
29328,one,day
29329,day,earth
29330,earth,changed
29331,changed,todifferent
29332,todifferent,earth
29333,earth,heavens
29334,heavens,men
29335,men,marshalled
29336,marshalled,forth
29337,forth,allah
29338,allah,one
29339,one,irresistible
29340,thou,wilt
29341,wilt,see
29342,see,sinners
29343,sinners,day
29344,day,bound
29345,bound,together
29346,together,fetters
29347,garments,liquid
29348,liquid,pitch
29349,pitch,faces
29350,faces,covered
29351,covered,fire
29352,allah,may
29353,may,requite
29354,requite,soul
29355,soul,according
29356,according,deserts
29357,deserts,verily
29358,verily,allah
29359,allah,swift
29360,swift,calling
29361,calling,account
29362,ismessage,mankind
29363,mankind,let
29364,let,take
29365,take,warning
29366,warning,therefrom
29367,therefrom,let
29368,let,know
29369,know,one
29370,one,allah
29371,allah,let
29372,let,men
29373,men,understanding
29374,understanding,take
29375,take,heed
29376,ayats,revelation
29377,revelation,ofqur
29378,ofqur,makes
29379,makes,things
29380,things,clear
29381,disbelieve,wish
29382,wish,bowed
29383,bowed,allah
29384,allah,islam
29385,leave,alone
29386,alone,enjoy
29387,enjoy,good
29388,good,things
29389,things,life
29390,life,please
29391,please,let
29392,let,false
29393,false,hope
29394,hope,amuse
29395,amuse,soon
29396,soon,knowledge
29397,knowledge,undeceive
29398,never,destroypopulation
29399,destroypopulation,notterm
29400,notterm,decreed
29401,decreed,assigned
29402,assigned,beforehand
29403,neither,canpeople
29404,canpeople,anticipate
29405,anticipate,term
29406,term,delay
29407,say,thou
29408,thou,message
29409,message,revealed
29410,revealed,truly
29411,truly,thou
29412,thou,art
29413,art,mad
29414,mad,possessed
29415,bringest,thou
29416,thou,angels
29417,angels,us
29418,us,thou
29419,thou,hast
29420,hast,truth
29421,send,angels
29422,angels,except
29423,except,cause
29424,cause,came
29425,came,ungodly
29426,ungodly,behold
29427,behold,respite
29428,respite,would
29429,without,doubt
29430,doubt,sent
29431,sent,message
29432,message,assuredly
29433,assuredly,guard
29434,guard,corruption
29435,send,messengers
29436,messengers,thee
29437,thee,amongst
29438,amongst,religious
29439,religious,sects
29440,sects,old
29441,never,camemessenger
29442,camemessenger,mocked
29443,even,let
29444,let,creep
29445,creep,hearts
29446,hearts,sinners
29447,believe,message
29448,message,ways
29449,ways,ancients
29450,ancients,passed
29451,passed,away
29452,even,opened
29453,opened,themgate
29454,themgate,heaven
29455,heaven,continue
29456,continue,day
29457,day,ascending
29458,ascending,therein
29459,would,say
29460,say,eyes
29461,eyes,intoxicated
29462,intoxicated,nay
29463,nay,bewitched
29464,bewitched,sorcery
29465,set,zodiacal
29466,zodiacal,signs
29467,signs,heavens
29468,heavens,made
29469,made,fair
29470,fair,seeming
29471,seeming,beholders
29472,moreover,guarded
29473,guarded,every
29474,every,cursed
29475,cursed,devil
29476,gainshearing,stealth
29477,stealth,pursued
29478,pursued,byflaming
29479,byflaming,fire
29480,fire,bright
29481,bright,see
29482,earth,spread
29483,spread,likecarpet
29484,likecarpet,set
29485,set,thereon
29486,thereon,mountains
29487,mountains,firm
29488,firm,immovable
29489,immovable,produced
29490,produced,therein
29491,therein,kinds
29492,kinds,things
29493,things,due
29494,due,balance
29495,provided,therein
29496,therein,means
29497,means,subsistence
29498,subsistence,whose
29499,whose,sustenance
29500,sustenance,ye
29501,ye,responsible
